name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
MAYDAD CONSTRUCTION LIMITED,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9478157,won: Emergency Works Hurricane Melissa Reopening of Roads- Brandon Hill - Mt. Zion (Coackley - Mt. Airy) St. Andrew; value: 3544102.10 Currency: JMD; date: 11/05/2026 22:56:24; agency: National Works Agency
Marbeh Enterprises Limited,Jamaica,GOJEP Awards,,,,,"G0250-Hotel, Restaurant and Hospital Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9347697,won: Procurement of Disposable Items for Dietary 26/27-AL-173; value: 642275.00 Currency: JMD; date: 11/05/2026 22:07:07; agency: Western Regional Health Authority
Analytik Jena US LLC,Jamaica,GOJEP Awards,,,,,"G0030-Analytical Laboratory Equipment, Parts and Supplies",,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9477002,won: Emergency Procurement of Multi EA 5100 for Micro - Elemental Analysis; value: 83535.12 Currency: JMD; date: 11/05/2026 22:03:10; agency: Petrojam Limited
AL AND MAX DISTRIBUTORS,Jamaica,GOJEP Awards,,,,,G0230-Hardware and Haberdashery,,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9324048,won: Procurement of Carpentry Materials for Medical Records Shelves 26/27-AL-172; value: 2061610.00 Currency: JMD; date: 11/05/2026 21:55:37; agency: Western Regional Health Authority
ZDA Construction Limited,Jamaica,GOJEP Awards,,,,,S0230-Equipment Rental : Rental of Construction and Industrial Equipment and Tools,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9361296,"won: Provision of equipment, labour and material for Relocation of 40ft Containers 26/27-AL-114B; value: 736320.00 Currency: JMD; date: 11/05/2026 21:43:49; agency: Western Regional Health Authority"
CARI-MED GROUP LIMITED,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9310444,won: Procurement of Eye Drops For CRH Eye Clinic 26/27-AL-156; value: 40656.00 Currency: JMD; date: 11/05/2026 21:38:51; agency: Western Regional Health Authority
Appliance Traders Ltd,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=5755541,won: Procurement of Plotter Printer; value: 2/ 2; date: 11/05/2026 21:36:22; agency: Jamaica Social Investment Fund
PROMEDICAL DISTRIBUTION LIMITED,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9376297,won: Procurement of Laparotomy Pack 26/27-AL-193; value: 672750.00 Currency: JMD; date: 11/05/2026 20:34:51; agency: Western Regional Health Authority
S M Quality Construction Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=7423239,won: Renovation Works at the Montego Bay #2 Post Office; value: 41054500.00 Currency: JMD; date: 11/05/2026 20:22:45; agency: Post and Telecommunications Department
NEAC Compressor Service USA Inc,Jamaica,GOJEP Awards,,,,,"G0300-Industrial, Construction Equipment, Machinery, Parts and Supplies",,,,,construction;supply;energy,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9474925,won: Spare Parts for Recycle Gas Compressors C1A and  C1B; value: 4128.00 Currency: USD; date: 11/05/2026 20:07:33; agency: Petrojam Limited
KINGALARM SERVICES LIMITED,Jamaica,GOJEP Awards,,,,,S0530-Safety and Security Services - Guard Services,,,,,supply;security,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9321679,"won: The Procurement of Security Service WCAH April 27-May 30, 2026; value: 2131272.00 Currency: JMD; date: 11/05/2026 19:00:40; agency: Western Regional Health Authority"
